leaid,grad_rate_midpt
0400720,77.88888888888889
0400746,87.23270440251574
0400747,93.89969135802468
0400752,3.55858310626703
0400757,91.6378896882494
0400760,93.51895734597157
0400769,89.16904276985743
0400770,90.63870094722598
0400771,75
0400772,24
0400775,80.23809523809524
0400776,84.87654320987653
0400778,64.95145631067962
0400783,89.71404109589041
0400785,79.01851851851852
0400788,91.8131868131868
0400790,79.04181972308561
0400794,15.703703703703702
0400796,82.27272727272728
0400800,93.3081841432225
0400801,77.7906976744186
0400803,88.17924528301887
0400805,84.68085106382978
0400807,60.49197860962567
0400811,20.121809744779583
0400813,61.22147651006712
0400814,43.899628252788105
0400816,25.88807733619764
0400818,92.34868421052632
0400819,92.17325227963525
0400820,79.66090712742981
0400821,46.591642924976256
0400823,69.59725158562367
0400827,19.743589743589745
0400828,94.82701812191104
0400829,89.6218487394958
0400830,94.47909967845658
0400831,91.95286195286195
0400838,90.07246376811594
0400839,36.31792896876337
0400843,90.7229916897507
0400851,91.74273858921163
0400858,93.63066776586975
0400859,76.77345537757438
0400861,90
0400862,85.42944785276073
0400872,63.02189781021898
0400878,92.67101449275363
0400880,11.571969696969697
0400889,75
0400897,84.92647058823529
0400898,82
0400903,82.33695652173913
0400904,91.35612535612535
0400909,94.00225733634312
0400910,68.59177215189874
0400911,88.46575342465754
0400917,24
0400920,11.5
0400924,94.45017182130584
0400926,89.40333333333334
0400931,24
0400946,83.90963855421687
0400947,86.94444444444444
0400950,12.080985915492956
0400957,14.097087378640778
0400965,72.93103448275863
0400969,75
0400976,24
0401000,82.3029197080292
0401080,82.71186440677967
0401160,88.1367292225201
0401180,84.28833172613308
0401330,75
0401410,90.4007267922035
0401460,87.91638225255973
0401600,87.1807580174927
0401650,75
0401740,77.36718024874699
0401760,93.97166866746699
0401870,91.76326947637293
0401940,67.69076869076869
0402190,57.12195121951219
0402220,75
0402250,86.87465181058496
0402320,73.29472407519708
0402480,75
0402530,86.02334180725677
0402600,84.70873786407768
0402690,90.47086226976664
0402740,20.311720698254362
0402860,84.73830117542693
0402920,83.76628392484342
0403010,86.46299132210311
0403040,89.81386633354154
0403080,71.51776649746193
0403200,80.7972027972028
0403290,81.6716253443526
0403310,79.37215189873417
0403400,90.80038578619006
0403450,88.24695201037613
0403500,86.58001189767995
0403550,80.8252427184466
0403730,86.0931899641577
0403780,93.23079477529333
0403820,87.4039408866995
0403860,4.541935483870968
0403870,87.95532718120805
0403950,65.24701195219124
0403990,87.66443538998836
0404010,87.21649484536083
0404060,83.24015296367112
0404280,86.79483448526737
0404410,66.88679245283019
0404530,75
0404570,87.96004319654428
0404630,84.9379589769562
0404720,74.7409122085048
0404770,81.55142231947484
0404820,73.15767045454545
0404860,75
0404970,76.47744119434077
0405030,81.84204545454546
0405070,79.67910259642046
0405320,91.22422422422422
0405340,75
0405360,6.043694141012909
0405430,82.58095238095238
0405460,81.55917667238421
0405500,24
0405530,90.05338491295939
0405640,83.5945945945946
0405820,75.83150629313845
0405880,87.6751269035533
0405930,87.18571808333887
0405980,82.19439868204283
0406030,82.20359281437125
0406070,71.02020636285468
0406120,41.61818181818182
0406250,93.48917651683185
0406330,80.86402656666516
0406440,70.93875
0406510,75
0406580,80.71346068414039
0406630,75
0406730,80.33448275862068
0406740,73.62517099863202
0406810,92.80831074977417
0406850,84.75114155251141
0406870,73.9812734082397
0406960,74.63724696356276
0407130,80.9612211221122
0407170,92.07672413793104
0407240,82.25288831835687
0407300,86.84458483754513
0407430,75
0407500,90
0407520,92.05120339782917
0407530,77.13149606299213
0407570,87.43683898807006
0407630,70.36363636363636
0407700,80.46875
0407750,93.89707043871616
0407770,75
0407820,93.13194114855244
0407860,81.5680473372781
0408020,89.48509485094851
0408080,79.91268758526603
0408170,75.98185330849375
0408230,89.44907407407408
0408280,92.59307692307692
0408340,86.66406226790647
0408410,93.07987220447284
0408430,75
0408520,88.08708392603128
0408600,90.7676130389064
0408680,71.47468002225932
0408800,83.28569278619445
0408850,90.760919103684
0408910,83.88947368421053
0409160,61.70285969615728
0409190,78.43447220805712
0409250,81.77989130434783
0409310,82.89655172413794
0409430,73.99632127529124
0409460,85.7811135371179
0409540,75
0409630,88.43004932858318
0409731,5.1005291005291005
0409733,84.11812961443806
0500001,85.72076023391813
0500006,85.10893371757925
0500009,94.74840357598978
0500012,91.83014048531291
0500015,86.99159001314061
0500016,92.94884910485933
0500017,88.80842340663436
0500019,88.08458244111348
0500020,90.15942028985508
0500021,89.41479820627802
0500023,80.12898443291327
0500026,70.20663101604278
0500028,92.00577293136625
0500029,92.9658573596358
0500030,89.80088495575221
0500032,89.21512605042017
0500035,75
0500036,77.22680412371133
0500041,89.79729729729729
0500042,88.12420718816068
0500043,83.97151424287856
0500044,90.82644628099175
0500045,79.9846153846154
0500046,94.74221453287197
0500047,77.58080495356037
0500048,84.26625
0500049,88.52511244377811
0500051,88.44350580781415
0500055,89.3421875
0500059,85.24166666666667
0500062,83.16908713692946
0500065,85.65502793296089
0500067,92.9792531120332
0500068,86.39435146443515
0500070,88.96192384769539
0500071,89.06855791962174
0500072,91.19305856832972
0500073,89.50728476821192
0500074,89.7482269503546
0500076,93.00740740740741
0500078,95.35555555555555
0500079,79.3710407239819
0500082,88.89057421451788
0500390,21.488933601609656
0500394,69.40215439856374
0500397,18.59090909090909
0500398,94.88227513227513
0500402,90.1973293768546
0500405,87.9513776337115
0500407,24.43039319872476
0500408,43.75821596244131
0500409,75
0500412,72.44444444444444
0500416,80.63253012048193
0500418,89.76666666666667
0500419,82.0625
0500420,83.57142857142856
0500422,75
0502250,91.39794419970632
0502280,89.63924050632912
0502430,81.18048505358149
0502550,88.34338747099767
0502580,87.11258741258742
0502610,86.17355371900827
0502670,82.5995260663507
0502700,90.6759388038943
0502730,84.39556004036326
0502790,92.30736714975845
0502820,85.49624060150376
0502880,81.88553459119497
0502960,92.91766499673274
0503030,90.43802083333334
0503060,90.1142244566021
0503090,86.68507333908542
0503150,81.95642507781237
0503240,92.33333333333333
0503300,83.86837606837607
0503320,81.98538324420677
0503420,89.56626506024097
0503450,92.90216754540128
0503480,92.25
0503630,86.67857142857143
0503640,93.15767878077374
0503690,90.35169035957472
0503710,87.35483870967741
0503750,86.92606796633642
0503770,86.48443579766537
0503840,91.18987341772151
0503960,83.18862690707351
0504020,84.84610917537746
0504050,94.11791730474732
0504080,93.59652333028362
0504110,93.74976122254058
0504170,92.56934306569343
0504200,94.1234309623431
0504350,88.90075187969926
0504370,85.49324324324324
0504380,91.34905660377359
0504410,89.9791816223977
0504560,92.42462311557789
0504590,85.8506989951944
0504680,90.5316265060241
0504740,92.25531914893617
0504800,85.01371428571429
0504860,84.40472673559822
0504890,92.87458379578246
0504930,86.58105369807497
0504980,79.46061643835617
0505170,88.28637413394918
0505190,85.84430176565007
0505340,92.2367941712204
0505410,73.6141581632653
0505430,89.7387566137566
0505470,82.49956024626209
0505500,87.96170747018205
0505550,85.67708333333333
0505580,87.74342105263158
0505680,85.53841088674275
0505760,94.15038232795243
0505850,82.15565509518477
0505970,82.75885328836425
0506060,87.12912308930008
0506090,94.65616180620884
0506120,85.52147303999156
0506150,88.41447368421052
0506210,90.50825082508251
0506240,90.8086642599278
0506270,80.36977886977887
0506330,85.20336740829825
0506360,95.98047276464543
0506420,86.04734982332155
0506540,85.8436886854153
0506630,92.40627802690584
0506690,90.50563909774436
0506840,84.63763440860215
0506870,84.53879849812266
0506900,95.22409408773045
0506930,88.31666666666666
0506990,93.17
0507110,80.5307881773399
0507140,86.72183908045977
0507170,92.30116648992578
0507230,90.01475409836065
0507290,93.49247311827958
0507320,87.4515852613539
0507350,79.02450331125829
0507380,87.86173026067246
0507410,89.57471264367815
0507530,86.9367816091954
0507560,85.49412455934196
0507620,90.31612903225806
0507680,82.75160811479466
0507710,84.05
0507740,86.58030303030303
0507770,93.27473878303627
0507840,76.95410885805762
0507860,92.20462427745665
0507890,70.67454350161117
0507920,88.32053941908714
0507990,93.2511542012927
0508010,73.69306930693068
0508040,85.29841422393079
0508130,84.3975328292877
0508240,89.28213166144201
0508280,86.910156895128
0508340,91.00373599003736
0508400,81.67227414330218
0508490,84.95510204081633
0508610,83.68734123624047
0508640,92.05243790248389
0508670,87.54406005221932
0508700,86.96472518457752
0508730,91.68473609129815
0508940,86.93696651346028
0509000,77.96451349141455
0509060,85.374470089496
0509150,84.65930599369085
0509190,93.79084967320262
0509240,88.11670951156813
0509270,92.87117903930131
0509330,86.01737242128122
0509360,78.73620862587762
