dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Limestone County School District,10372,White,89.9294443163477,16.007,29.588,23.542,2.051,17.016,5.476,0.598,11.5,74,9.6,1.2,0.6
Linden City School District,566,NA,NA,47.351,38.608,21.753,0.643,41.577,38.339,0,NA,NA,NA,NA,NA
Lowndes County School District,1696,Black,86.95065398335315,39.829,72.865,26.555,1.699,30.343,10.2,0,1.1,0.7,97.8,0,0
Macon County School District,2448,Black,85.24148211243612,37.649,63.2,26.945,1.296,40.565,3.595,1.43,5.2,11.1,83.3,0.4,0
Madison County School District,22296,White,92.16915056383522,10.765,20.191,23.235,1.088,8.147,6.979,0.78,4.8,67.8,18.2,0.9,1.5
Marengo County School District,1732,Black,91.63698049194232,26.308,36.867,24.11,0.495,25.119,8.661,0,2.1,27.6,69.7,0.9,0
Marion County School District,3731,White,86.20181700194678,26.344,22.071,22.089,2.368,20.207,9.702,0,4.2,86.5,2.4,0.7,0
Midfield City School District,894,Black,85.87973640856671,29.465,59.339,26.145,3.164,17.801,5.593,0,16.1,0,83.2,0,0
Mobile County School District,66267,Black,82.5571945924423,30.099,45.241,30.25,1.993,20.7,5.055,1.42,4.3,40.9,49.2,0.6,1.7
Monroe County School District,3654,Black,86.62442333785617,29.639,51.786,25.958,0.626,52.907,5.884,0,1.1,45.2,50.3,1.2,0.3
Montgomery County School District,36037,Black,79.13229122550341,32.116,54.409,30.126,1.906,16.995,8.092,3.166,6.6,12.4,74.4,0,3
Morgan County School District,8814,White,90.27601156069365,15.232,25.225,28.981,1.753,14.055,7.204,1.135,7.7,83,3.9,2,0.2
Mountain Brook City School District,4384,White,97.05832389580974,6.456,10.127,18.005,0.945,2.125,1.505,0,0.3,95.2,0.4,0,3.3
Muscle Shoals City School District,2153,White,93.89700295483324,12.552,23.695,28.505,0.109,6.07,5.945,0,6.4,81.1,6.9,4.1,1
