school_ID,state,dist,abbr_state,state_code,LEAID,year,children,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian,pct_PI,student_total,rev_total_avg,rev_per_cap
03870,Colorado,El Paso County School District 49,CO,08,0803870,2014-2018,18613,51.1999762427986,0.08232126384973526,0.232549786567688,0.2709124982357025,0.0151158096268773,0.02466712892055511,0.04625799134373665,0.00333100510761141,19.4,67.1,2.8,0.6,1.7,0.2,33674,197717250,10622.535324773007
03930,Colorado,Frenchman School District RE-3,CO,08,0803930,2014-2018,233,83.65771812080537,0.15540540218353271,0.21395349502563477,0.2455858737230301,0.01113585755228996,0.06101695075631142,0,0,7.7,90.4,0,1.5,0,0,149,2825750,12127.682403433477
03960,Colorado,Fremont RE-2,CO,08,0803960,2014-2018,1512,78.070796460177,0.1832229644060135,0.2971014380455017,0.24624332785606384,0.01496421638876199,0.12040816247463226,0.08201058208942413,0,15.9,83.7,0,0,0,0,1243,15356250,10156.25
03990,Colorado,Poudre School District R-1,CO,08,0803990,2014-2018,29323,77.12104497050487,0.07706545293331146,0.24922925233840945,0.29252681136131287,0.01286245603114366,0.06422290951013565,0.03874092176556587,0.01752890273928642,21.7,71,0.6,0.5,2.8,0,26106,334549250,11409.107185485796
04020,Colorado,Weld County School District RE-8,CO,08,0804020,2014-2018,2841,76.30862207896857,0.14986911416053772,0.24202843010425568,0.2817009389400482,0.04108666256070137,0.16263793408870697,0.07602956891059875,0.03062302060425281,56.8,42,0,0.2,0,0,2482,30233500,10641.851460753256
04050,Colorado,Fort Morgan School District RE-3,CO,08,0804050,2014-2018,3350,72.8485488126649,0.1454050838947296,0.3793223798274994,0.2397085577249527,0.04650427028536796,0.16228467226028442,0.02507462725043296,0.10149253904819489,59.8,31.3,7.3,0,0.3,0,3790,40683000,12144.179104477613
04080,Colorado,Fountain School District 8,CO,08,0804080,2014-2018,8266,81.61604152712658,0.12496887892484664,0.2732737064361572,0.2755604684352875,0.02853519283235073,0.04806612059473991,0.05347205325961113,0.00774256000295281,23.5,54.6,8.5,0,1.7,3.8,5972,96773500,11707.415920638761
04110,Colorado,Fowler School District R-4J,CO,08,0804110,2014-2018,324,87.30294117647058,0.2240000069141388,0.5226480960845947,0.2252010703086853,0.02259215153753757,0.11055276542901991,0.08024691045284271,0,7,91.2,0,0,0,0,340,4557750,14067.12962962963
04140,Colorado,Sierra Grande School District R-30,CO,08,0804140,2014-2018,368,82.29910714285715,0.3206106722354889,0.15000000596046448,0.2523117661476135,0.05361305177211761,0.14042553305625916,0.05978260934352875,0.08967391401529312,79.3,20.7,0,0,0,0,224,3957500,10754.076086956522
04200,Colorado,Weld County School District RE-1,CO,08,0804200,2014-2018,1760,84.9090909090909,0.11066307872533798,0.2936409115791321,0.2498401254415512,0.01548165176063776,0.17235566675662994,0.01136363670229911,0.02329545468091964,45.5,52.2,0,0,0.2,0,1650,25444000,14456.818181818182
04260,Colorado,Roaring Fork School District RE-1,CO,08,0804260,2014-2018,6195,80.74323443104011,0.09966059774160384,0.23948512971401217,0.3745867908000946,0.05236819759011268,0.09133785963058472,0.01372074242681264,0.03341404348611832,41,53.1,2.2,0,1.9,0,6134,80084500,12927.2800645682
04290,Colorado,Granada School District RE-1,CO,08,0804290,2014-2018,178,78.61500000000001,0.27941176295280457,0.38562092185020447,0.28133705258369446,0.04518072307109833,0.08835341036319733,0.07303370535373688,0.08988764137029648,88.9,11.1,0,0,0,0,200,2880250,16181.1797752809
04320,Colorado,East Grand School District 2,CO,08,0804320,2014-2018,1555,85.9091743119266,0.08956228941679001,0.2797048091888428,0.446973979473114,0.0191069133579731,0.03981385752558708,0.03344051539897919,0.04437299072742462,13,78.9,1,0,0,0,1090,17463750,11230.707395498392
04350,Colorado,Mesa County Valley School District 51,CO,08,0804350,2014-2018,23695,76.97608237772057,0.193770170211792,0.3502448797225952,0.2862952649593353,0.02258161455392837,0.0663854107260704,0.05520151928067207,0.00700569758191704,23.5,71.3,0.3,0.7,0.7,0.6,21365,218816500,9234.711964549482
04380,Colorado,Garfield County School District 16,CO,08,0804380,2014-2018,1431,76.3391812865497,0.10773026198148727,0.1715817749500275,0.285030335187912,0.05654408782720566,0.09848485141992568,0.06149545684456825,0.01537386421114206,54.6,36.8,1.4,0.7,0,0,1026,19918750,13919.461914744934
04410,Colorado,Greeley School District 6,CO,08,0804410,2014-2018,23804,76.57462164290088,0.1713356077671051,0.31611570715904236,0.310695618391037,0.03908045962452888,0.12671566009521484,0.03965720161795616,0.05167198926210403,59.1,33.8,2.8,0.1,2,0.1,22862,228045250,9580.123088556546
04440,Colorado,Pawnee School District RE-12,CO,08,0804440,2014-2018,139,75,0.24468085169792175,0.05000000074505806,0.12540192902088165,0.10276679694652556,0,0,0,21.4,75,0,0,0,0,68,2946750,21199.640287769784
04470,Colorado,Gunnison Watershed School District RE-1J,CO,08,0804470,2014-2018,2160,92.656330749354,0.0918695479631424,0.3473302125930786,0.40636903047561646,0.02010968886315822,0.05268594995141029,0.03379629552364349,0.04722222313284874,18.5,76.3,0,0,0,0,1548,27239250,12610.763888888889
04500,Colorado,Hanover School District 28,CO,08,0804500,2014-2018,385,80.51020408163265,0.18232044577598572,0.19480518996715543,0.21860986948013303,0.03404255211353302,0.10150375962257384,0.08831168711185455,0.02857142873108387,16.5,62,6.3,0,0,0,196,4276000,11106.493506493507
04530,Colorado,Harrison School District 2,CO,08,0804530,2014-2018,13053,80.05081847055949,0.26256003975868225,0.45113739371299744,0.31939536333084106,0.07316181808710098,0.09472143650054932,0.09216272085905076,0.10288822650909424,45.4,30.4,12.4,0.4,1.7,0,8186,122133750,9356.75706734084
04560,Colorado,Haxtun School District RE-2J,CO,08,0804560,2014-2018,223,87.6615969581749,0.16858237981796265,0.18867924809455872,0.23280423879623413,0.01330798491835594,0.02061855606734752,0.04035874456167221,0,6.4,91.5,0,0,0,0,263,4766750,21375.56053811659
04590,Colorado,Hayden School District RE-1,CO,08,0804590,2014-2018,433,89.00337837837839,0.01814516074955463,0.2634408473968506,0.34734800457954407,0.00461254594847559,0.19310344755649567,0.05542725324630737,0,4.4,84.4,0,7.8,0,0,296,6252500,14439.953810623556
04650,Colorado,Hoehne Reorganized School District 3,CO,08,0804650,2014-2018,235,84.98327759197323,0.27272728085517883,0.2142857164144516,0.18356867134571075,0.00992907769978046,0.1168384850025177,0.02978723496198654,0,50,52.6,0,0,0,0,299,3763500,16014.893617021276
04680,Colorado,Holly School District RE-3,CO,08,0804680,2014-2018,244,82.32899022801303,0.28870293498039246,0.3284313678741455,0.25080907344818115,0.02737226337194442,0.1803278625011444,0.14344261586666107,0.069672130048275,70.9,29.1,0,0,0,0,307,3952250,16197.745901639344
04710,Colorado,Holyoke School District RE-1J,CO,08,0804710,2014-2018,677,84.58423493044822,0.15555556118488312,0.10887771844863892,0.3061889111995697,0.05214465782046318,0.2198177725076675,0.05465288087725639,0.1447562724351883,44,53,0,0,0.6,0,647,6870500,10148.449039881833
04740,Colorado,Genoa-Hugo School District C-113,CO,08,0804740,2014-2018,308,75,0.13963964581489563,0.2298850566148758,0.17322835326194763,0.01778656058013439,0.0272277221083641,0.03896103799343109,0,3.1,95.3,0,1.3,0,0,137,3246250,10539.772727272728
04770,Colorado,Ignacio School District 11-JT,CO,08,0804770,2014-2018,950,74.37435233160622,0.11519844830036163,0.36491677165031433,0.3401525616645813,0.03425559774041176,0.33458083868026733,0.03157894685864448,0,39.8,41.6,0,13.9,0,0,772,14301500,15054.21052631579
04800,Colorado,Jefferson County School District R-1,CO,08,0804800,2014-2018,86015,80.64497185603938,0.07571391761302948,0.2751562297344208,0.28488150238990784,0.01367583125829696,0.0470166802406311,0.03678428009152412,0.0193105861544609,23.2,68.3,1.1,0.4,2.9,0,82078,926233250,10768.275882113585
04830,Colorado,Johnstown-Milliken School District RE-5J,CO,08,0804830,2014-2018,4105,85.10716952949961,0.06711722165346146,0.08349094539880753,0.28460735082626343,0.00892143789678812,0.00546833639964461,0.02582216821610927,0,28.3,68.3,0,0.6,0.9,0,2678,33122000,8068.69671132765
04860,Colorado,Julesburg School District RE-1,CO,08,0804860,2014-2018,283,51.63175675675676,0.2432432472705841,0.35458168387413025,0.2575301229953766,0.03873744606971741,0.06633906811475754,0.03180212154984474,0.02120141312479973,10.9,89.1,0,0,0,0,1480,5480500,19365.72438162544
04920,Colorado,Weld County School District RE-3J,CO,08,0804920,2014-2018,2790,78.60531496062993,0.1756569892168045,0.2768222689628601,0.28015342354774475,0.02283780835568905,0.17310288548469543,0.05125448107719421,0.0197132620960474,45.8,49.9,0.9,0,0,0,2032,29300750,10502.060931899641
04950,Colorado,Platte Valley School District RE-7,CO,08,0804950,2014-2018,996,91.86908077994428,0.15188898146152496,0.1334981471300125,0.2388664036989212,0.04058146476745605,0.12175962328910828,0.00602409616112709,0.00803212821483612,51,48.5,0.4,0,0,0,1077,18434000,18508.032128514056
05010,Colorado,Kiowa School District C-2,CO,08,0805010,2014-2018,483,84.26267281105991,0.05544554442167282,0.14146341383457184,0.20319905877113345,0.01451905630528926,0.00331125827506184,0.02070393413305282,0,8,89.8,0,2.3,0,0,217,3496500,7239.130434782609
05040,Colorado,Kit Carson School District R-1,CO,08,0805040,2014-2018,97,75,0.20618556439876556,0.1875,0.1492537260055542,0.03314917162060737,0.05194805189967155,0,0,10,90,0,0,0,0,72,2377500,24510.309278350516
05070,Colorado,West Grand School District 1-JT,CO,08,0805070,2014-2018,528,86.07282913165265,0.1603960394859314,0.2366255074739456,0.2975085377693176,0.02885408140718937,0.0458715595304966,0,0.0416666679084301,29.9,70.1,0,0,0,0,357,6520500,12349.431818181818
05100,Colorado,North Conejos School District RE-1J,CO,08,0805100,2014-2018,891,83.86,0.23937824368476868,0.30361446738243103,0.2022756040096283,0.03289882093667984,0.182813823223114,0.0202020201832056,0,58.1,36.8,1.3,3.9,0,0,1200,9544500,10712.121212121212
05130,Colorado,East Otero School District R-1,CO,08,0805130,2014-2018,1282,84.56234915526952,0.3102310299873352,0.4050633013248443,0.2771632969379425,0,0.1922464221715927,0.05928236991167068,0.01326053030788898,64.8,29.1,0.8,0.8,1.2,0,1243,14955000,11665.366614664586
05190,Colorado,Lake County School District R-1,CO,08,0805190,2014-2018,943,59.91446208112875,0.17467248439788818,0.3612440228462219,0.3758779466152191,0.02475395239889621,0.13101814687252045,0.03393425419926643,0.1272534430027008,59.8,36.4,0,0,0,0,1134,14476750,15351.802757158006
05220,Colorado,Lamar School District RE-2,CO,08,0805220,2014-2018,1704,81.20131291028446,0.270334929227829,0.4137279689311981,0.2807807922363281,0.04176642745733261,0.0649692714214325,0.03286384791135788,0.03345070406794548,58.8,40.9,0,0,0,0,1371,14134000,8294.600938967136
05250,Colorado,Las Animas School District RE-1,CO,08,0805250,2014-2018,518,71.44598497978048,0.30320149660110474,0.484375,0.1641337424516678,0.02064220234751701,0.15195369720458984,0.10038609802722932,0.01351351384073495,46.3,52.8,0,0,0.7,0,3462,9151250,17666.50579150579
05310,Colorado,Littleton School District 6,CO,08,0805310,2014-2018,15675,87.03941050946919,0.04546291008591652,0.2505964934825897,0.2999926805496216,0.01165882125496864,0.02887560240924358,0.03113237582147121,0.02111642807722091,20.1,71.4,1.7,0.3,2.1,0,14996,178831750,11408.72408293461
05370,Colorado,St. Vrain Valley School District RE 1J,CO,08,0805370,2014-2018,33379,81.54826020097987,0.06696204096078873,0.26136133074760437,0.27587100863456726,0.01937479339540004,0.07100285589694977,0.03163665905594826,0.02222954481840133,29.4,63.6,0.8,0.3,2.4,0.1,27963,370024500,11085.547799514665
05400,Colorado,Thompson School District R-2J,CO,08,0805400,2014-2018,19732,75.45134483633595,0.07771916687488556,0.27790340781211853,0.2826633155345917,0.01469297334551811,0.06048697978258133,0.05118589103221893,0.00243259686976671,17.9,73.7,0.8,0.2,0.7,0.2,15764,163644750,8293.368639772958
05460,Colorado,Mancos School District RE-6,CO,08,0805460,2014-2018,618,87.37341772151899,0.22736841440200808,0.2612612545490265,0.315902978181839,0.03014753013849258,0.13849765062332153,0.1003236249089241,0,13.3,83.3,0,0,0,0,316,5293250,8565.129449838189
05490,Colorado,Manitou Springs School District 14,CO,08,0805490,2014-2018,974,86.60722021660649,0.06705298274755478,0.25158563256263733,0.27590304613113403,0.00441443780437111,0.01082431338727474,0,0,2.9,89.4,0.4,0,1.9,0,1385,16295000,16729.979466119097
05520,Colorado,Manzanola School District 3J,CO,08,0805520,2014-2018,202,76.52542372881356,0.2085561454296112,0.3920454680919647,0.1519336998462677,0.06733167171478271,0.35269710421562195,0.07425742596387863,0,62.2,40.5,0,0,0,0,177,2358750,11676.980198019803
05550,Colorado,Mapleton School District 1,CO,08,0805550,2014-2018,6511,61.48031335842914,0.13734030723571777,0.3659694194793701,0.32031816244125366,0.05836189910769462,0.1649438738822937,0.07925049960613251,0.0327138677239418,67.1,27.5,0.9,0.6,2.1,0,9829,92247250,14167.908155429273
05580,Colorado,McClave School District RE-2,CO,08,0805580,2014-2018,140,86.29090909090908,0.23664122819900513,0.262773722410202,0.1752336472272873,0.02332361601293087,0.02958579920232296,0.05000000074505806,0.04285714402794838,16.1,80.6,0,0,0,0,275,3485500,24896.428571428572
05610,Colorado,Meeker School District RE1,CO,08,0805610,2014-2018,802,91.38859180035652,0.13411079347133636,0.4275568127632141,0.2005934715270996,0.03459747135639191,0.16698841750621796,0.02244389057159424,0,17.3,73.1,0,0,0,0,561,9711250,12108.790523690774
05640,Colorado,Buffalo School District RE-4,CO,08,0805640,2014-2018,206,84.57198443579766,0.12195122241973876,0.33522728085517883,0.33271026611328125,0,0.0784313753247261,0.02427184395492077,0.05339805781841278,10.3,71.8,0,0,0,0,257,3822750,18557.038834951458
05670,Colorado,Miami-Yoder School District 60-JT,CO,08,0805670,2014-2018,351,76.93006993006993,0.140625,0.10101009905338287,0.2497570514678955,0.00715137086808681,0.12933024764060974,0.03418803587555885,0,28.8,54.5,0,0,0,0,286,3706500,10559.82905982906
05730,Colorado,Moffat County School District RE-1,CO,08,0805730,2014-2018,2541,78.5494071146245,0.15449778735637665,0.3707718849182129,0.3005107045173645,0.02840691059827804,0.12392783164978027,0.02636757120490074,0.01889020018279552,28.8,67.1,1.8,0.5,0,0.5,1771,23695250,9325.167256985438
05760,Colorado,Monte Vista School District C-8,CO,08,0805760,2014-2018,1271,78.01294033069735,0.2647334039211273,0.3148514926433563,0.2755594551563263,0.06164966151118278,0.18171362578868863,0.04091266542673111,0,70.4,27.7,0,0,0,0,1391,11445250,9004.917387883555
05790,Colorado,Montrose County School District RE-1J,CO,08,0805790,2014-2018,6448,75.05645042116151,0.16645610332489014,0.24743196368217468,0.30013418197631836,0.02769842185080051,0.21208980679512024,0.05195409432053566,0.05443548411130905,39.7,55.7,0.6,0.2,1.1,0,6767,60009750,9306.723014888337
05820,Colorado,Lewis-Palmer School District 38,CO,08,0805820,2014-2018,6627,94.04025029595806,0.05836187303066254,0.14233697950839996,0.2857860326766968,0.01021515112370252,0.04705455526709556,0.0167496595531702,0,8.6,82.1,0.3,0,1,0,5913,66801500,10080.202203108496
05850,Colorado,West End School District RE-2,CO,08,0805850,2014-2018,276,78.2803738317757,0.12094395607709885,0.32231405377388,0.30831098556518555,0,0.3123123049736023,0.05797101557254791,0.01086956541985273,9.4,86.8,3.8,0,0,0,214,4528000,16405.797101449276
05880,Colorado,Norwood School District R-2J,CO,08,0805880,2014-2018,311,86.97628458498025,0.09294871985912324,0.1870228946208954,0.3314829468727112,0.00925925932824611,0.2152466326951981,0.04180064424872398,0.02893890626728534,11.1,90.7,0,0,0,0,253,4206250,13524.91961414791
05910,Colorado,South Routt School District RE-3,CO,08,0805910,2014-2018,481,87.11180124223603,0.05668016150593757,0.23557692766189575,0.22765599191188812,0.0220994483679533,0.06616540998220444,0.01455301418900489,0,9.1,86.9,0.8,2,0,0,322,6812000,14162.162162162162
05940,Colorado,Otis School District R-3,CO,08,0805940,2014-2018,184,78.72611464968152,0.1773049682378769,0.17045454680919647,0.19128328561782837,0.04714640229940414,0.00917431153357029,0.09782608598470688,0,0,94.6,0,0,0,0,157,5271750,28650.815217391304
06000,Colorado,Revere School District,CO,08,0806000,2014-2018,102,75,0.2639999985694885,0.25974026322364807,0.3104575276374817,0.00625000009313225,0.0833333358168602,0.04901960864663124,0,26.3,57.9,0,0,0,0,67,3497500,34289.21568627451
06060,Colorado,Peyton School District 23-JT,CO,08,0806060,2014-2018,1171,81.20524515393386,0.08886509388685226,0.08699396997690201,0.20221729576587677,0.05429553240537643,0.08935219794511795,0.05209222808480263,0,28.6,68.9,0,0,0,0,877,6673250,5698.761742100769
06120,Colorado,Pueblo City School District 60,CO,08,0806120,2014-2018,17867,74.4918404351768,0.25013691186904907,0.5076145529747009,0.3110385835170746,0.02535129338502884,0.18404735624790192,0.08031566441059113,0.01651088520884514,65.8,28,2.2,0.8,0.8,0,15442,172924750,9678.443499188448
06150,Colorado,Pueblo County School District 70,CO,08,0806150,2014-2018,10089,84.94587567950839,0.10006266832351685,0.26906490325927734,0.2527143359184265,0.01826796494424343,0.10043075680732728,0.06898602098226547,0.00158588564954698,35.9,60.3,0.2,1,0.2,0,8462,91035000,9023.193577163247
06180,Colorado,Rangely School District RE-4,CO,08,0806180,2014-2018,438,85.29428571428572,0.08764044940471649,0.1806282699108124,0.24719999730587008,0.02111111022531986,0.03200000151991844,0,0,2.2,86.7,0,0,0,0,350,8242250,18817.922374429225
