leaid,state,region,dist,children,pct_pov,pct_SP,SP_MOE,pct_HHVJ,HHVJ_MOE,pct_CC,CC_MOE,pct_NCI,nci_MOE,pct_CD,CD_MOE,pct_CLI,CLI_MOE
4209750,Pennsylvania,Northeast,Ferndale Area School District,830,26.181355118751526,41.66666567325592,9.5,32.569414377212524,3.5,1.409090869128704,1,7.999999821186066,5,11.927710473537445,5,0,1
4209780,Pennsylvania,Northeast,Fleetwood Area School District,2797,8.454906940460205,25.95302164554596,7.5,31.933632493019104,5,0.4168527666479349,0.5,8.202898502349854,5.5,5.934930220246315,3,3.110475465655327,3.5
4209870,Pennsylvania,Northeast,Forbes Road School District,337,12.971697747707367,33.56890380382538,16.5,24.13793057203293,4,0.6140350829809904,1,7.300885021686554,4.5,2.6706231757998466,2.5,0,3
4209930,Pennsylvania,Northeast,Forest City Regional School District,808,16.96428507566452,33.518004417419434,9.5,24.559471011161804,3.5,0.5847953259944916,1,4.858657345175743,5,5.816831812262535,3,0.2475247485563159,2
4209940,Pennsylvania,Northeast,Forest Hills School District,2050,15.250544250011444,29.88133728504181,7,26.357662677764893,3.5,0.8378718048334122,1,5.363128334283829,3.5,6.2439024448394775,3.5,0,1
4209960,Pennsylvania,Northeast,Fort Cherry School District,1377,8.542713522911072,29.567307233810425,8.5,30.37848472595215,3.5,0.6645478308200836,1,5.0499118864536285,3.5,3.7037037312984467,2.5,1.4524328522384167,2
4209990,Pennsylvania,Northeast,Fort LeBoeuf School District,2442,13.280908763408661,33.95143449306488,10,27.986815571784973,4,1.1179039254784584,1,8.20869579911232,4,5.118755251169205,2.5,0,0.5
4210070,Pennsylvania,Northeast,Fox Chapel Area School District,5260,6.233448907732964,19.570112228393555,4,22.284670174121857,2,0.5948334466665983,0.5,2.5811320170760155,1.5,4.52471487224102,1.5,2.053231932222843,1
4210110,Pennsylvania,Northeast,North Schuylkill School District,2151,12.511985003948212,41.12820625305176,8.5,22.028625011444092,3,0.3863987745717168,0.5,7.599309086799622,4.5,9.576941281557083,4.5,1.7666202038526535,2.5
4210115,Pennsylvania,Northeast,North Star School District,1361,14.743049442768097,38.5633260011673,12.5,27.78080701828003,4,1.350574754178524,1.5,16.233766078948975,6.5,9.110947698354721,4,0,1
4210200,Pennsylvania,Northeast,Franklin Area School District,2194,16.867469251155853,32.6646089553833,5.5,26.07659101486206,2,2.004317007958889,1,19.79876607656479,5,6.5177761018276215,2.5,0.7292616181075573,1
4210230,Pennsylvania,Northeast,Franklin Regional School District,3587,4.08734604716301,20.914043486118317,6,26.73145830631256,3,0,0,4.320722445845604,3.5,6.328408420085907,2.5,0,0.5
4210350,Pennsylvania,Northeast,Frazier School District,1224,12.011439353227615,22.756119072437286,7.5,32.13280737400055,4,0.4615384619683027,0.5,7.98376202583313,4,8.905228972434998,4,0,1
4210380,Pennsylvania,Northeast,Freedom Area School District,1294,13.66666704416275,32.86119103431702,11.5,22.30108380317688,3.5,0.3375695087015629,0.5,4.592592641711235,2.5,1.8547140061855316,1,0,1
4210440,Pennsylvania,Northeast,Freeport Area School District,1682,7.284413278102875,25.769230723381042,8.5,23.65889400243759,3.5,0.2636916935443878,0.5,5.641936883330345,4.5,10.047562420368195,5,0,1
4210530,Pennsylvania,Northeast,Galeton Area School District,319,24.69135820865631,28.52112650871277,10.5,24.225352704524994,4,0.9401709772646427,1,18.55010688304901,7.5,13.166144490242004,5,0,3
4210590,Pennsylvania,Northeast,Garnet Valley School District,4745,2.5956284254789352,11.567164212465286,2.5,23.89606386423111,3,0.40372968651354313,0.5,3.781077265739441,4,4.404636472463608,2,2.360379323363304,3
4210620,Pennsylvania,Northeast,Gateway School District,3992,14.39487338066101,28.524410724639893,6.5,28.86110544204712,2.5,0.3918216098099947,0.5,9.779863059520721,6,7.289579510688782,3.5,0.651302607730031,1
4210650,Pennsylvania,Northeast,General McLane School District,2504,11.237488687038422,36.59554719924927,11.5,31.233322620391846,4,1.3707466423511505,1,6.827794760465622,4,7.987220585346222,3,0,0.5
4210710,Pennsylvania,Northeast,Gettysburg Area School District,3421,12.758830189704895,31.956100463867188,7,27.813756465911865,2.5,1.4510739594697952,0.5,14.740008115768433,6,7.483191788196564,2.5,2.0754165947437286,2.5
4210740,Pennsylvania,Northeast,Girard School District,1893,19.62379217147827,52.90557146072388,12,25.4311203956604,4.5,1.1243689805269241,1,5.838876590132713,3.5,7.237190008163452,4,0.4754357971251011,1
4210830,Pennsylvania,Northeast,Glendale School District,787,18.039216101169586,30.494505167007446,8.5,25.37577450275421,3,2.792489156126976,2,9.446565061807632,5.5,14.4853875041008,4.5,0,2
